year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,337,0.8,4.6,5.8,0.51,2.6,0,0,0,0,0
2002,338,0.8,4,5.1,0.51,3.4,0,0,0,0,0
2002,339,0.5,1.4,4.4,0.48,1,0,0,0,0,0
2002,340,1.6,-1.6,2,0.54,0.9,0,0,0,0,0
2002,341,1.6,-3.2,-0.6,0.46,0.9,0.1,0,0,0,0
2002,342,1.2,-4.7,-0.1,0.62,1,0,0,0,0,0
2002,343,1.5,-5.8,-1.4,0.68,0.9,0,0,0,0,0
2002,344,1.3,-4.8,0.1,0.65,1.2,0,0,0,0,0
2002,345,0.8,-3.3,0.2,0.73,0.6,0,0,0,0,0
2002,346,1.1,-5.9,-0.4,0.83,1.1,0.1,0,0,0,0
2002,347,1.3,-6.1,-0.3,0.76,0.7,0,0,0,0,0
2002,348,0.5,-2.6,2,0.72,1.3,0.1,0,0,0,0
2002,349,1,-0.7,1.8,0.51,2.2,0,0,0,0,0
2002,350,0.9,-4.8,-0.7,0.56,1.3,0.1,0,0,0,0
2002,351,0.9,-5.9,5.5,1.02,1.5,1.8,0,0,0,0
2002,352,0.9,-1.3,5.6,0.94,1.7,0.5,0,0,0,0
2002,353,0.6,-1.2,5.3,0.91,1.4,1,0,0,0,0
2002,354,0.3,-0.1,5.5,0.89,2.6,1.7,0,0,0,0
2002,355,1.4,-4.4,0.7,0.85,0.9,0.1,0,0,0,0
2002,356,0.7,-3.2,-1,0.37,2.6,0,0,0,0,0
2002,357,0.8,-2.3,0.5,0.42,4.3,0,0,0,0,0
2002,358,0.5,0.4,1.5,0.4,5.8,0,0,0,0,0
2002,359,0.9,0.8,5.4,0.62,3.1,0.1,0,0,0,0
2002,360,0.8,4.9,7.1,0.63,2.5,0,0,0,0,0
2002,361,0.5,2.9,6.3,0.6,4.7,0.7,0,0,0,0
2002,362,0.3,0.9,4.6,0.55,2,0,0,0,0,0
2002,363,0.2,-2,1,0.74,0.3,1.3,0,0,0,0
2002,364,0.3,-5.6,-1.9,0.68,1.2,1.2,0,0,0,0
2002,365,0.9,-8.4,0.7,0.88,1.7,1.5,0,0,0,0
